cup	0	0	255	255
eye	0	266	255	521
eye	0	532	255	787
flower	0	798	255	1053
fish	0	1064	255	1319
eye	0	1330	255	1585
hand	0	1596	255	1851
cup	0	1862	255	2117
airplane	266	0	521	255
airplane	266	266	521	521
eyeglasses	266	532	521	787
donut	266	798	521	1053
eyeglasses	266	1064	521	1319
airplane	266	1330	521	1585
hand	266	1596	521	1851
flower	266	1862	521	2117
donut	532	0	787	255
eyeglasses	532	266	787	521
eye	532	532	787	787
dumbbell	532	798	787	1053
hand	532	1064	787	1319
hand	532	1330	787	1585
eye	532	1596	787	1851
hand	532	1862	787	2117
airplane	798	0	1053	255
hand	798	266	1053	521
fish	798	532	1053	787
airplane	798	798	1053	1053
hand	798	1064	1053	1319
eyeglasses	798	1330	1053	1585
eye	798	1596	1053	1851
dumbbell	798	1862	1053	2117
fish	1064	0	1319	255
airplane	1064	266	1319	521
eyeglasses	1064	532	1319	787
dumbbell	1064	798	1319	1053
cup	1064	1064	1319	1319
butterfly	1064	1330	1319	1585
airplane	1064	1596	1319	1851
fish	1064	1862	1319	2117
eyeglasses	1330	0	1585	255
flower	1330	266	1585	521
hand	1330	532	1585	787
eye	1330	798	1585	1053
dumbbell	1330	1064	1585	1319
donut	1330	1330	1585	1585
airplane	1330	1596	1585	1851
fish	1330	1862	1585	2117
butterfly	1596	0	1851	255
donut	1596	266	1851	521
dumbbell	1596	532	1851	787
fish	1596	798	1851	1053
hand	1596	1064	1851	1319
butterfly	1596	1330	1851	1585
hand	1596	1596	1851	1851
eye	1596	1862	1851	2117
cup	1862	0	2117	255
fish	1862	266	2117	521
donut	1862	532	2117	787
hand	1862	798	2117	1053
cup	1862	1064	2117	1319
eyeglasses	1862	1330	2117	1585
cup	1862	1596	2117	1851
eyeglasses	1862	1862	2117	2117
